resource_id,title,primary_chapter,formats,purpose,version,status,aligned_chapters,folder,primary_chapter_title,related_resources,tier,legacy_aliases,has_browser_form,browser_form_path,has_process_flow,process_flow_path,reader_level,primary_audience,estimated_time,required_inputs,expected_output,prerequisites,use_frequency,essential_or_optional,recommended_format,technical_skill_required,reader_pathway,default_visibility
AIHE-CE7,Annual Circularity Review,15,docx; odt; xlsx; ods; csv; json; md; mmd; svg; png,"Conduct a portfolio-level annual review of resource flows, asset-life extension, environmental trends, supplier performance, recovery, rebound, incidents, capability gaps, and next-year decisions.",V1.0,optional,"12,13,14,15",chapters/15/core/AIHE-E05/supp/AIHE-CE7,Circularity-Adjusted Evaluation and Sustainable Value,AIHE-E05,Supplemental specialist tool,,no,,yes,docs/process/resources/AIHE-CE7.html,Applied to advanced,Specialist project contributors and institutional reviewers,30–120 minutes,A defined decision and the evidence required by the specialist task,"Supporting analysis, register, checklist, or decision record",Aligned core resource or Book Chapter 15,As required by the decision,Optional or conditionally required,"DOCX/ODT, XLSX/ODS, or structured data",Moderate,Use a specialist resource,advanced
AIHE-LTX-01-WOR,Emergency-Triage Intervention Portfolio,1,TeX,Chapter 1 worked-example resource aligned with the current book structure.,V1.0,current,1,chapters/01/latex/ch01_worked_examples.tex,AI as a Health-System Intervention,,LaTeX worked example,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-01-SUP,Supplemental Resources,1,TeX,Chapter 1 supplemental resource aligned with the current book structure.,V1.0,current,1,chapters/01/latex/ch01_supplemental_resources.tex,AI as a Health-System Intervention,,LaTeX supplemental,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-01-REF,Reference Resources,1,TeX,Chapter 1 reference resource aligned with the current book structure.,V1.0,current,1,chapters/01/latex/ch01_reference_resources.tex,AI as a Health-System Intervention,,LaTeX reference,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-02-WOR,Readmission Analytics Readiness and Data-Foundation Investment,2,TeX,Chapter 2 worked-example resource aligned with the current book structure.,V1.0,current,2,chapters/02/latex/ch02_worked_examples.tex,Institutional Readiness and Digital Foundations,,LaTeX worked example,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-02-SUP,Supplemental Resources,2,TeX,Chapter 2 supplemental resource aligned with the current book structure.,V1.0,current,2,chapters/02/latex/ch02_supplemental_resources.tex,Institutional Readiness and Digital Foundations,,LaTeX supplemental,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-02-REF,Reference Resources,2,TeX,Chapter 2 reference resource aligned with the current book structure.,V1.0,current,2,chapters/02/latex/ch02_reference_resources.tex,Institutional Readiness and Digital Foundations,,LaTeX reference,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-03-WOR,Hospital Command Dashboard and Patient Flow,3,TeX,Chapter 3 worked-example resource aligned with the current book structure.,V1.0,current,3,chapters/03/latex/ch03_worked_examples.tex,Human–AI Decision Support and Managerial Action,,LaTeX worked example,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-03-SUP,Supplemental Resources,3,TeX,Chapter 3 supplemental resource aligned with the current book structure.,V1.0,current,3,chapters/03/latex/ch03_supplemental_resources.tex,Human–AI Decision Support and Managerial Action,,LaTeX supplemental,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-03-REF,Reference Resources,3,TeX,Chapter 3 reference resource aligned with the current book structure.,V1.0,current,3,chapters/03/latex/ch03_reference_resources.tex,Human–AI Decision Support and Managerial Action,,LaTeX reference,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-04-WOR,Ambient Documentation and Workforce Redesign,4,TeX,Chapter 4 worked-example resource aligned with the current book structure.,V1.0,current,4,chapters/04/latex/ch04_worked_examples.tex,"Productivity, Workforce Redesign, and Implementation",,LaTeX worked example,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-04-SUP,Supplemental Resources,4,TeX,Chapter 4 supplemental resource aligned with the current book structure.,V1.0,current,4,chapters/04/latex/ch04_supplemental_resources.tex,"Productivity, Workforce Redesign, and Implementation",,LaTeX supplemental,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-04-REF,Reference Resources,4,TeX,Chapter 4 reference resource aligned with the current book structure.,V1.0,current,4,chapters/04/latex/ch04_reference_resources.tex,"Productivity, Workforce Redesign, and Implementation",,LaTeX reference,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-05-WOR,Quality Signal After a Model and Workflow Update,5,TeX,Chapter 5 worked-example resource aligned with the current book structure.,V1.0,current,5,chapters/05/latex/ch05_worked_examples.tex,"Quality, Accreditation, and Organizational Learning",,LaTeX worked example,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-05-SUP,Supplemental Resources,5,TeX,Chapter 5 supplemental resource aligned with the current book structure.,V1.0,current,5,chapters/05/latex/ch05_supplemental_resources.tex,"Quality, Accreditation, and Organizational Learning",,LaTeX supplemental,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-05-REF,Reference Resources,5,TeX,Chapter 5 reference resource aligned with the current book structure.,V1.0,current,5,chapters/05/latex/ch05_reference_resources.tex,"Quality, Accreditation, and Organizational Learning",,LaTeX reference,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-06-WOR,Clinical Documentation Platform: Lifecycle Cost and Pricing,6,TeX,Chapter 6 worked-example resource aligned with the current book structure.,V1.0,current,6,chapters/06/latex/ch06_worked_examples.tex,"Lifecycle Cost, Pricing, and Benefit Realization",,LaTeX worked example,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-06-SUP,Supplemental Resources,6,TeX,Chapter 6 supplemental resource aligned with the current book structure.,V1.0,current,6,chapters/06/latex/ch06_supplemental_resources.tex,"Lifecycle Cost, Pricing, and Benefit Realization",,LaTeX supplemental,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-06-REF,Reference Resources,6,TeX,Chapter 6 reference resource aligned with the current book structure.,V1.0,current,6,chapters/06/latex/ch06_reference_resources.tex,"Lifecycle Cost, Pricing, and Benefit Realization",,LaTeX reference,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-07-WOR,"Remote Monitoring: Economic Evaluation, Affordability, and HTA",7,TeX,Chapter 7 worked-example resource aligned with the current book structure.,V1.0,current,7,chapters/07/latex/ch07_worked_examples.tex,"Economic Evaluation, Affordability, and HTA",,LaTeX worked example,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-07-SUP,Supplemental Resources,7,TeX,Chapter 7 supplemental resource aligned with the current book structure.,V1.0,current,7,chapters/07/latex/ch07_supplemental_resources.tex,"Economic Evaluation, Affordability, and HTA",,LaTeX supplemental,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-07-REF,Reference Resources,7,TeX,Chapter 7 reference resource aligned with the current book structure.,V1.0,current,7,chapters/07/latex/ch07_reference_resources.tex,"Economic Evaluation, Affordability, and HTA",,LaTeX reference,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-08-WOR,Imaging Prioritisation Decision Model,8,TeX,Chapter 8 worked-example resource aligned with the current book structure.,V1.0,current,8,chapters/08/latex/ch08_worked_examples.tex,Decision Modelling and Simulation Under Uncertainty,,LaTeX worked example,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-08-SUP,Supplemental Resources,8,TeX,Chapter 8 supplemental resource aligned with the current book structure.,V1.0,current,8,chapters/08/latex/ch08_supplemental_resources.tex,Decision Modelling and Simulation Under Uncertainty,,LaTeX supplemental,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-08-REF,Reference Resources,8,TeX,Chapter 8 reference resource aligned with the current book structure.,V1.0,current,8,chapters/08/latex/ch08_reference_resources.tex,Decision Modelling and Simulation Under Uncertainty,,LaTeX reference,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-09-WOR,Vendor Procurement and Renegotiation,9,TeX,Chapter 9 worked-example resource aligned with the current book structure.,V1.0,current,9,chapters/09/latex/ch09_worked_examples.tex,Problem-First Procurement and Vendor Governance,,LaTeX worked example,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-09-SUP,Supplemental Resources,9,TeX,Chapter 9 supplemental resource aligned with the current book structure.,V1.0,current,9,chapters/09/latex/ch09_supplemental_resources.tex,Problem-First Procurement and Vendor Governance,,LaTeX supplemental,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-09-REF,Reference Resources,9,TeX,Chapter 9 reference resource aligned with the current book structure.,V1.0,current,9,chapters/09/latex/ch09_reference_resources.tex,Problem-First Procurement and Vendor Governance,,LaTeX reference,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-10-WOR,Patient-Facing Chatbot and Digital Inclusion,10,TeX,Chapter 10 worked-example resource aligned with the current book structure.,V1.0,current,10,chapters/10/latex/ch10_worked_examples.tex,"Governance, Accountability, and Institutional Risk",,LaTeX worked example,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-10-SUP,Supplemental Resources,10,TeX,Chapter 10 supplemental resource aligned with the current book structure.,V1.0,current,10,chapters/10/latex/ch10_supplemental_resources.tex,"Governance, Accountability, and Institutional Risk",,LaTeX supplemental,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-10-REF,Reference Resources,10,TeX,Chapter 10 reference resource aligned with the current book structure.,V1.0,current,10,chapters/10/latex/ch10_reference_resources.tex,"Governance, Accountability, and Institutional Risk",,LaTeX reference,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-11-WOR,Readmission-Risk Prediction: Validation and Causal Evaluation,11,TeX,Chapter 11 worked-example resource aligned with the current book structure.,V1.0,current,11,chapters/11/latex/ch11_worked_examples.tex,"Evidence, Validation, and Real-World Evaluation",,LaTeX worked example,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-11-SUP,Supplemental Resources,11,TeX,Chapter 11 supplemental resource aligned with the current book structure.,V1.0,current,11,chapters/11/latex/ch11_supplemental_resources.tex,"Evidence, Validation, and Real-World Evaluation",,LaTeX supplemental,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-11-REF,Reference Resources,11,TeX,Chapter 11 reference resource aligned with the current book structure.,V1.0,current,11,chapters/11/latex/ch11_reference_resources.tex,"Evidence, Validation, and Real-World Evaluation",,LaTeX reference,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-12-WOR,Readmission-Risk Lifecycle Decision,12,TeX,Chapter 12 worked-example resource aligned with the current book structure.,V1.0,current,12,chapters/12/latex/ch12_worked_examples.tex,Decision Architecture and Lifecycle Governance,,LaTeX worked example,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-12-SUP,Supplemental Resources,12,TeX,Chapter 12 supplemental resource aligned with the current book structure.,V1.0,current,12,chapters/12/latex/ch12_supplemental_resources.tex,Decision Architecture and Lifecycle Governance,,LaTeX supplemental,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-12-REF,Reference Resources,12,TeX,Chapter 12 reference resource aligned with the current book structure.,V1.0,current,12,chapters/12/latex/ch12_reference_resources.tex,Decision Architecture and Lifecycle Governance,,LaTeX reference,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-13-WOR,Circular Stewardship of AI Compute and Clinical Infrastructure,13,TeX,Chapter 13 worked-example resource aligned with the current book structure.,V1.0,current,13,chapters/13/latex/ch13_worked_examples.tex,Circular Health Systems and Resource Stewardship,,LaTeX worked example,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-13-SUP,Supplemental Resources,13,TeX,Chapter 13 supplemental resource aligned with the current book structure.,V1.0,current,13,chapters/13/latex/ch13_supplemental_resources.tex,Circular Health Systems and Resource Stewardship,,LaTeX supplemental,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-13-REF,Reference Resources,13,TeX,Chapter 13 reference resource aligned with the current book structure.,V1.0,current,13,chapters/13/latex/ch13_reference_resources.tex,Circular Health Systems and Resource Stewardship,,LaTeX reference,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-14-WOR,"Imaging Platform Refresh: Maintain, Refurbish, Replace, or Share",14,TeX,Chapter 14 worked-example resource aligned with the current book structure.,V1.0,current,14,chapters/14/latex/ch14_worked_examples.tex,Circular Procurement and Asset Stewardship,,LaTeX worked example,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-14-SUP,Supplemental Resources,14,TeX,Chapter 14 supplemental resource aligned with the current book structure.,V1.0,current,14,chapters/14/latex/ch14_supplemental_resources.tex,Circular Procurement and Asset Stewardship,,LaTeX supplemental,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-14-REF,Reference Resources,14,TeX,Chapter 14 reference resource aligned with the current book structure.,V1.0,current,14,chapters/14/latex/ch14_reference_resources.tex,Circular Procurement and Asset Stewardship,,LaTeX reference,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-15-WOR,"Edge, Local, or Cloud Diagnostic AI",15,TeX,Chapter 15 worked-example resource aligned with the current book structure.,V1.0,current,15,chapters/15/latex/ch15_worked_examples.tex,Circularity-Adjusted Evaluation and Sustainable Value,,LaTeX worked example,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-15-SUP,Supplemental Resources,15,TeX,Chapter 15 supplemental resource aligned with the current book structure.,V1.0,current,15,chapters/15/latex/ch15_supplemental_resources.tex,Circularity-Adjusted Evaluation and Sustainable Value,,LaTeX supplemental,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
AIHE-LTX-15-REF,Reference Resources,15,TeX,Chapter 15 reference resource aligned with the current book structure.,V1.0,current,15,chapters/15/latex/ch15_reference_resources.tex,Circularity-Adjusted Evaluation and Sustainable Value,,LaTeX reference,,no,,no,,Technical source,"Editors, publication teams, advanced educators, and LaTeX users",Variable,LaTeX environment and familiarity with the book template,Publication-quality companion content,LaTeX capability,Publication and source maintenance,Optional technical source,LaTeX,High,Access advanced source files,advanced
